neighbourhood,Family-Friendly,Food & Restaurants,Nature & Parks,Nightlife & Bars,Peaceful & Quiet,Public Transport,Safety,Walkability
Diagonal Mar i el Front Marítim del Poblenou,36.4,39.9,26.3,57.9,60.3,40.1,33.0,46.9
Hostafrancs,45.8,51.0,31.9,50.3,65.8,81.9,44.9,50.7
Navas,41.7,16.3,14.9,36.0,83.1,58.5,26.1,21.5
Provençals del Poblenou,28.3,39.5,20.2,70.3,67.0,34.5,32.7,38.0
Sant Andreu,23.8,20.8,10.0,35.6,53.1,36.9,24.6,27.1
Sant Antoni,44.7,41.9,25.7,72.2,45.5,42.3,28.1,50.3
Sant Gervasi - Galvany,19.5,36.0,22.4,69.6,62.3,31.7,29.6,45.5
Sant Gervasi - la Bonanova,29.6,28.8,26.3,10.0,69.3,37.0,41.3,23.9
Sant Martí de Provençals,10.0,48.7,26.3,31.8,69.2,83.1,24.6,29.3
"Sant Pere, Santa Caterina i la Ribera",40.0,39.2,25.1,82.5,28.1,20.2,25.9,55.3
Sants,22.0,37.5,23.0,54.2,58.7,67.5,36.0,41.6
Sants - Badal,39.0,41.8,36.7,36.2,66.5,79.8,39.5,39.5
Sarrià,18.6,31.7,90.0,44.5,70.9,45.4,31.9,28.8
Vallcarca i els Penitents,20.3,52.8,28.4,56.3,59.6,62.6,29.3,33.3
Vilapicina i la Torre Llobeta,41.7,21.7,16.1,66.0,62.2,47.5,25.9,12.5
el Baix Guinardó,46.1,41.1,31.1,37.7,61.0,49.9,36.6,42.6
el Barri Gòtic,51.4,40.1,18.4,82.2,10.0,37.2,23.0,63.9
el Besòs i el Maresme,41.7,21.1,21.7,42.8,58.9,49.7,27.1,42.4
el Camp d'en Grassot i Gràcia Nova,49.0,33.8,24.9,58.4,60.1,34.8,38.9,54.2
el Camp de l'Arpa del Clot,21.8,38.3,24.3,53.7,62.4,77.5,45.8,47.3
el Carmel,41.7,32.2,19.0,74.3,66.1,69.5,33.8,38.0
el Clot,44.9,36.6,21.6,43.5,74.3,57.3,32.6,33.4
el Congrés i els Indians,41.0,28.5,29.4,57.9,65.0,72.5,35.8,44.5
el Fort Pienc,56.3,45.1,26.6,50.8,48.7,42.5,30.0,55.0
el Guinardó,80.9,29.9,17.8,75.6,65.2,39.6,29.5,24.2
el Parc i la Llacuna del Poblenou,54.1,33.5,31.0,70.6,56.4,46.7,31.8,46.9
el Poble Sec,41.7,44.9,30.0,85.7,44.7,47.0,28.2,46.3
el Poblenou,43.0,42.2,31.0,73.3,57.0,43.0,29.3,44.9
el Putxet i el Farró,47.6,30.7,28.3,41.6,59.5,47.4,32.0,28.9
el Raval,38.0,39.5,24.0,77.2,27.8,38.5,10.0,66.5
l'Antiga Esquerra de l'Eixample,53.4,45.3,21.0,87.2,41.5,35.9,32.5,53.5
la Barceloneta,70.1,45.3,33.5,88.0,27.1,23.4,22.3,48.5
la Bordeta,36.7,28.7,35.8,73.9,72.9,45.9,37.1,48.6
la Dreta de l'Eixample,54.1,42.8,22.9,59.4,43.9,34.3,33.4,55.7
la Font de la Guatlla,28.3,40.8,27.7,76.9,65.4,67.0,34.7,47.4
la Marina de Port,41.7,30.7,40.9,44.1,79.2,57.2,26.5,73.3
la Maternitat i Sant Ramon,24.7,26.1,16.9,39.7,56.6,43.7,21.0,26.4
la Nova Esquerra de l'Eixample,50.3,41.9,29.4,50.6,58.7,58.3,31.4,45.4
la Sagrada Família,66.5,41.0,18.7,45.4,43.4,42.6,30.5,52.4
la Sagrera,47.1,42.6,30.5,34.0,71.8,64.0,28.5,43.5
la Salut,90.0,34.8,33.5,44.3,59.7,30.0,27.4,28.5
la Verneda i la Pau,18.3,59.1,12.1,59.4,77.8,78.9,30.0,57.6
la Vila Olímpica del Poblenou,46.6,41.3,33.1,82.5,66.6,39.7,29.6,50.1
la Vila de Gràcia,41.3,39.1,27.3,75.3,48.8,30.3,31.2,43.1
les Corts,29.2,46.2,22.3,25.3,67.1,62.2,32.2,44.1
les Tres Torres,58.2,58.6,35.4,62.1,84.6,41.0,37.2,25.3
